Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"DELETE THIS ROW. PLEASE DO NOT REQUEST EDIT ACCESS. Instead, make your own copy by either by downloading (for use
with Excel or Numbers), or using File -> ""Make a copy"" for use with your own Google Drive account.",,,,,,,,
ExampleSubject,2/20/2013,7:10 PM,5/15/2020,10:00 PM,FALSE,ExampleDescription,ExampleLocation,TRUE
ExampleSubject2,2/20/2013,7:30 PM,5/16/2020,10:30 PM,FALSE,ExampleDescription2,ExampleLocation2,TRUE
,,,,,,,,TRUE
,,,,,,,,TRUE
,,,,,,,,TRUE
,,,,,,,,TRUE
,,,,,,,,TRUE
,,,,,,,,TRUE
,,,,,,,,TRUE
